check,case,direct_value,expected_value,abs_error,tolerance,status,note
k0_q0_KF,L=8,0.8968282914300848,0.8968282914300858,9.992007e-16,1.000000e-10,PASS,"full k=0 and explicit (k=0,q=0) level-projector moments agree"
three_representation_P2,"L=6,full",2.572401847300581,2.572401847300553,2.797762e-14,1.000000e-10,PASS,"full space, full k=0 block, and explicit q=0 response give identical moments"
three_representation_P4,"L=6,full",6.0875359080799845,6.0875359080798503,1.341149e-13,1.000000e-10,PASS,"full space, full k=0 block, and explicit q=0 response give identical moments"
three_representation_KF,"L=6,full",0.91994933624514974,0.91994933624514952,2.220446e-16,1.000000e-10,PASS,"full space, full k=0 block, and explicit q=0 response give identical moments"
three_representation_P2,"L=6,full-k0",2.5724018473005801,2.572401847300553,2.708944e-14,1.000000e-10,PASS,"full space, full k=0 block, and explicit q=0 response give identical moments"
three_representation_P4,"L=6,full-k0",6.0875359080799818,6.0875359080798503,1.314504e-13,1.000000e-10,PASS,"full space, full k=0 block, and explicit q=0 response give identical moments"
three_representation_KF,"L=6,full-k0",0.91994933624514996,0.91994933624514952,4.440892e-16,1.000000e-10,PASS,"full space, full k=0 block, and explicit q=0 response give identical moments"
representation_dimension,"L=6,full",729,729,0.000000e+00,0.000000e+00,PASS,dimension labels distinguish the diagonalized block from response support
representation_dimension,"L=6,full-k0",130,130,0.000000e+00,0.000000e+00,PASS,dimension labels distinguish the diagonalized block from response support
representation_dimension,"L=6,explicit-q0",46,46,0.000000e+00,0.000000e+00,PASS,dimension labels distinguish the diagonalized block from response support
