L,L_minus_7_over_5,P2,P2_lower,P2_upper,layer,scaled_P2
6,0.08139322365509784,2.5724018473,,,released_point,0.03489601314801262
7,0.06559379285134774,3.78537771373,,,released_point,0.03547104023121627
8,0.05440941020600777,5.27482554378,,,released_point,0.03587501834708175
9,0.04613818294872287,7.0558980136,,,released_point,0.0361718126021119
10,0.039810717055349734,9.14265317266,,,released_point,0.036397557859196274
11,0.03483776143051158,11.5482427508,,,released_point,0.03657408417218229
12,0.03084226437392945,14.285052903227296,14.285052890860063,14.285052915594527,certified_interval_midpoint,0.036715281519742064
13,0.027572700710272586,17.364812563319923,17.36481254787745,17.3648125787624,certified_interval_midpoint,0.036830367669107814
14,0.024855399621259773,20.79867889213758,20.798678872312905,20.798678911962256,certified_interval_midpoint,0.03692567681845286
