L,u,delta,KF_geom,mean_N,F2,F3,F4,VarY,rare_pair_variance_ratio,M_10pct,abs_R_minus_KF
64,0.128,0.002,0.6873346560846563,0.0005024725275399825,7.90068317507534e-08,6.977525885591969e-12,4.1108060395827314e-16,1.5804156777405028e-07,2.0003531880968413,2531873692.147852,0.0002594700767488689
128,0.128,0.001,0.6770423228346457,0.0005069699794425141,8.307453897769407e-08,7.910469808268273e-12,5.207676961480407e-16,1.6618071345400986e-07,2.000380808596846,2407934889.8149867,0.0002662135902856688
256,0.128,0.0005,0.6718647875816992,0.0005092220770937151,8.515769873279075e-08,8.41129496828546e-12,5.840578464514408e-16,1.7034903597767884e-07,2.0003950143392544,2349047759.7523246,0.0002695667677532487
64,0.256,0.004,0.6873346560846563,0.0019996912780332094,1.254410210161296e-06,4.4213465016276664e-10,1.0397036456315225e-13,2.5105874893486324e-06,2.0014086851428075,159549776.3754219,0.0010340470433244375
128,0.256,0.002,0.6770423228346457,0.00201963424159059,1.3216509557310657e-06,5.027620511996673e-10,1.322411665431406e-13,2.645311345146848e-06,2.0015203966493598,151440922.2775636,0.0010619543708600965
256,0.256,0.001,0.6718647875816992,0.0020296355958478733,1.3561588691891607e-06,5.353994576881229e-10,1.486107563101426e-13,2.7144576456529514e-06,2.001577917840783,147591699.12279633,0.001075854810989596
