phi,K_F,P2,P4
0.0,0.003513888888888888,694.4444444444447,1694.5837620027444
0.01308996938995747,0.0035348252703866264,694.3444975623154,1704.1897447360793
0.02617993877991494,0.0035557466798561465,694.0447254145288,1712.7963517669496
0.039269908169872414,0.0035766533267144076,693.5453334499404,1720.388596772378
0.05235987755982988,0.0035975453587780626,692.8466639268576,1726.9530815922392
0.06544984694978735,0.0036184228535757227,691.9491956784725,1732.4780278731039
0.07853981633974483,0.0036392858093625795,690.853543784693,1736.95330509282
0.09162978572970229,0.003660134135796039,689.560459150598,1740.3704548919254
0.10471975511965977,0.0036809676442294127,688.0708279918044,1742.7227116475713
0.11780972450961724,0.003701786037578644,686.3856712271003,1744.0050192353376
0.1308996938995747,0.0037225888997150444,684.506143778756,1744.2140439342234
0.14398966328953217,0.0037433756843344972,682.433533781001,1743.348183440103
0.15707963267948966,0.003764145703251137,680.1692616971977,1741.4075719630166
0.17016960206944712,0.00378489811406046,677.7148793463299,1738.3940813938439
0.18325957145940458,0.0038056319071139103,675.0720688394617,1734.3113185361158
0.19634954084936207,0.0038263458917433984,672.2426414269032,1729.1646184089225
0.20943951023931953,0.0038470386816706363,669.2285362568699,1722.9610336371038
0.222529479629277,0.0038677086795320874,666.0318190464873,1715.7093199550309
0.23561944901923448,0.0038883540604460684,662.6546806660518,1707.4199178604258
0.24870941840919195,0.003908972754543784,659.0994356375179,1698.104930464603
0.2617993877991494,0.003929562428381123,655.3685205482392,1687.7780975954322
0.2748893571891069,0.003950120465142528,651.4644923810548,1676.4547662190093
0.28797932657906433,0.003970643943542534,647.39002676186,1664.1518572555674
0.3010692959690218,0.003991129615324246,643.1479161258659,1650.8878288744966
0.3141592653589793,0.004011573881247413,638.7410678038043,1636.6826363624564
0.32724923474893675,0.004031972765451617,634.1725020293882,1621.557688667401
0.34033920413889424,0.004052321888072455,629.4453498693944,1605.5358017299243
0.3534291735288517,0.004072616435980601,624.562851077787,1588.6411487216142
0.36651914291880916,0.004092851131504985,619.5283518753513,1570.8992073180511
0.37960911230876665,0.004113020198992257,614.3453026563618,1552.3367041416934
0.39269908169872414,0.004133117329045159,609.0172556238542,1532.9815565171543
0.4057890510886816,0.004153135640272283,603.5478623551229,1512.8628116882187
0.41887902047863906,0.004173067638371121,597.9408712991114,1492.0105836524194
0.43196898986859655,0.0041929051723552215,592.2001252074148,1470.4559877750353
0.445058959258554,0.004212639387724782,586.3295585006471,1448.2310733499621
0.4581489286485115,0.004232260676367984,580.3331945719881,1425.3687542800826
0.47123889803846897,0.004251758622968221,574.2151430297492,1401.9027380544321
0.4843288674284264,0.004271121947679682,567.9795968808543,1377.8674532036812
0.4974188368183839,0.004290338444821161,561.6308296571608,1353.2979754191663
0.5105088062083414,0.0043093949173251345,555.1731924865963,1328.2299525239393
0.5235987755982988,0.004328277106666662,548.6111111111113,1302.6995284870106
0.5366887449882562,0.004346969617984371,541.949082853497,1276.743266674173
0.5497787143782138,0.004365455840094263,535.1916735351457,1250.3980725304762
0.5628686837681712,0.004383717860086469,528.343514346864,1223.701115890574
0.5759586531581287,0.004401736372185842,521.4092986748863,1196.6897531138031
0.5890486225480862,0.0044194905805500185,514.3937788842624,1169.401449240972
0.6021385919380436,0.004436958095673588,507.3017630618238,1141.8737003693757
0.6152285613280011,0.0044541148240654724,500.1381117209612,1114.1439564416396
0.6283185307179586,0.004470934850869002,492.9077344704709,1086.249544642502
0.6414085001079161,0.004487390315101622,485.61558664975524,1058.2275935956438
0.6544984694978735,0.004503451277205142,478.2666659326799,1030.1149585501705
0.667588438887831,0.00451908557861908,470.8660089024169,1001.9481477433351
0.6806784082777885,0.004534258693120782,463.4186875996244,973.763250122576
0.6937683776677459,0.004548933569719029,455.92980604632095,945.59586460592
0.7068583470577035,0.004563070466944427,448.4044967478452,917.4810310553439
0.7199483164476609,0.0045766267784537115,440.8479171752928,889.4531631327242
0.7330382858376183,0.004589556849958745,433.26524623084356,861.5459832026019
0.7461282552275759,0.004601811787608744,425.6616806983994,833.7924594401615
0.7592182246175333,0.004613339258100339,418.04243168196973,806.2247452965659
0.7723081940074907,0.00462408328096973,410.412721034241,778.8741214671182
0.7853981633974483,0.004633984013740256,402.7777777777779,751.7709405006863
0.7984881327874057,0.004642977530863875,395.14283452131497,724.9445741814196
0.8115781021773631,0.0046509955977142615,387.5131238735859,698.423363806013
0.8246680715673207,0.00465796544127085,379.89387485715645,672.234573471721
0.8377580409572781,0.004663809519587202,372.29030932471227,646.4043464819188
0.8508480103472356,0.004668445292674437,364.70763838026284,620.9576649673747
0.8639379797371931,0.004671784998062878,357.1510588077105,595.9183128124569
0.8770279491271505,0.0046737354350462395,349.6257495092348,571.3088419663886
0.890117918517108,0.004674197762475919,342.1368679559314,547.1505422102844
0.9032078879070655,0.004673067315974029,334.6895466531388,523.4634144412018
0.916297857297023,0.004670233451587319,327.28888962287596,500.26614752474785
0.9293878266869804,0.004665579424225972,319.93996890580047,477.5760987579755
0.9424777960769379,0.00465898231073579,312.6478210850848,455.40927797440787
0.9555677654668954,0.004650312989152211,305.41744383459474,433.7803353130437
0.9686577348568528,0.004639436187590059,298.25379249373196,412.70255266317173
0.9817477042468103,0.004626210618338204,291.1617766712933,392.1878387867942
0.9948376736367678,0.004610489215051482,284.1462568806695,372.2467281104154
1.0079276430267252,0.004592119493449873,277.21204120869174,352.8883831679652
1.0210176124166828,0.0045709440586206304,270.36388202041,334.1206006667024
1.03410758180664,0.004546801284826788,263.6064727020588,315.9498211380978
1.0471975511965976,0.004519526196584685,256.94444444444457,298.38114212598566
1.0602875205865552,0.004488951582582566,250.3823630689594,281.4183348547025
1.0733774899765125,0.004454909376630491,243.92472589839502,265.06386431052147
1.08646745936647,0.004417232342070065,237.5759586747016,249.31891266049712
1.0995574287564276,0.004375756097683959,231.34041252580647,234.1834059238525
1.112647398146385,0.004330321523815886,225.2223609835677,219.65604380229925
1.1257373675363425,0.004280777586750882,219.22599705490862,205.73433256722473
1.1388273369263,0.004226984616938708,213.3554303481409,192.4146208935122
1.1519173063162573,0.00416881807180756,207.61468425644426,179.69213852189398
1.1650072757062149,0.004106172806063226,202.0076932004329,167.56103762423436
1.1780972450961724,0.004038967860778388,196.53829993170146,156.01443673897316
1.1911872144861297,0.00396715176647734,191.21025289919396,145.04446713717778
1.2042771838760873,0.0038907083340346143,186.02720368020454,134.64232147326936
1.2173671532660448,0.003809662879814088,180.99270447776883,124.79830456851296
1.2304571226560022,0.003724088797511149,176.11020568616135,115.50188616981788
1.2435470920459597,0.003634114348337465,171.3830535261676,106.74175552129277
1.2566370614359172,0.0035399294936572174,166.81448775175147,98.5058775813621
1.2697270308258746,0.0034417925407273305,162.40763942968997,90.78155071407224
1.2828170002158321,0.0033400363144425148,158.16552879369584,83.55546567952977
1.2959069696057897,0.003235073508636508,154.09106317450093,76.81376574521578
1.308996938995747,0.003127400813510047,150.18703500731658,70.54210773721618
1.3220869083857045,0.0030176013665093875,146.45611991803793,64.72572384822129
1.335176877775662,0.002906345039242035,142.90087488950385,59.34948401746694
1.3482668471656194,0.0027943860607935254,139.5237365090685,54.39795869662574
1.361356816555577,0.0026825574968949864,136.3270192986859,49.855481815017555
1.3744467859455345,0.00257176216360742,133.3129141286525,45.70621375738785
1.3875367553354918,0.0024629596612726133,130.48348671609398,41.9342041679014
1.4006267247254494,0.0023571493746440113,127.84067620922579,38.52345439492286
1.413716694115407,0.0022553494993718514,125.38629385835802,35.457979392594034
1.4268066635053642,0.0021585724185076162,123.12202177455484,32.721868897167916
1.4398966328953218,0.002067797053243739,121.04941177679954,30.299347698520783
1.4529866022852793,0.001983939129489687,119.16988432845545,28.174834830222782
1.4660765716752366,0.0019078206081396562,117.48472756375116,26.333001504998325
1.4791665410651942,0.0018401397880332176,115.99509640495774,24.758827626342317
1.4922565104551517,0.0017814437699599746,114.70201177086261,23.43765671146267
1.505346479845109,0.0017321050329469287,113.6063598770831,22.355249065582797
1.5184364492350666,0.0016923037935041374,112.70889162869807,21.49783305294593
1.5315264186250241,0.0016620175808692965,112.01022210561545,20.852154315602263
1.5446163880149815,0.001641019070914439,111.51083014102707,20.405522797210814
1.557706357404939,0.0016288827028379381,111.21105799324023,20.145857435638018
1.5707963267948966,0.0016250000000000001,111.11111111111111,20.06172839506173
1.5838862961848539,0.001628602888138231,111.21105799324023,20.142396715575806
1.5969762655748114,0.0016387937169733482,111.51083014102706,20.37785126591563
1.610066234964769,0.0016545802090402522,112.01022210561544,20.758842892867108
1.6231562043547263,0.0016749132348505451,112.70889162869804,21.27691566915972
1.6362461737446838,0.0016987251788916898,113.60635987708307,21.92443515015406
1.6493361431346414,0.0017249667248294173,114.70201177086261,22.69461355839277
1.6624261125245987,0.0017526401341422483,115.99509640495769,23.58153182406708
1.6755160819145563,0.001780827482712295,117.48472756375114,24.580158418632852
1.6886060513045138,0.0018087128028404658,119.16988432845542,25.686364928165663
1.7016960206944711,0.0018355975962927778,121.04941177679952,26.89693832254823
