delta,mean_N,var_N,R_delta,abs_R_minus_KF
0.0001,2.039712155676917e-05,2.0396842036908074e-05,0.6718539945762769,1.0793005422282675e-05
0.0002,8.157026978806409e-05,8.156579968254373e-05,0.6718216228897641,4.316469193510475e-05
0.0005,0.0005092220770937151,0.0005090479276686484,0.671595220813946,0.0002695667677532487
0.001,0.0020296355958478733,0.0020268723340651296,0.6707889327707096,0.001075854810989596
0.002,0.008012878730518543,0.007970014958669086,0.6675952601524289,0.004269527429270337
