audit,intercept,amplitude,a_1_over_L,b_1_over_L2,rss,max_abs_residual
linear_L8_L14,0.8326936196755099,0.510647049707086,,,3.4089841697009684e-07,0.00031965745253836886
linear_L10_L14,0.8342956349417043,0.4911829761530723,,,3.793422958436507e-08,0.00010793315448776042
linear_L11_L14,0.834995662906177,0.48219879049453845,,,8.835406930100442e-09,5.3111160737140395e-05
quadratic_L6_L14,0.8373276157152979,,0.412479675495579,0.5028395232625629,8.013646366292717e-08,0.00014895797433644997
power_4_over_5_L6_L14,0.8163049386933681,0.4291721337497001,,,5.933042654394897e-06,0.0012890552404835054
