p,n_cones,KF_single_cone,KF_n_cones,N_eff_n_cones
2.0,1,0.6666666666666667,0.6666666666666667,1.4999999999999998
2.0,2,0.6666666666666667,0.33333333333333337,2.9999999999999996
2.0,3,0.6666666666666667,0.22222222222222224,4.5
2.0,4,0.6666666666666667,0.16666666666666669,5.999999999999999
6.0,1,0.9971139971139968,0.9971139971139968,1.002894356005789
6.0,2,0.9971139971139968,0.4985569985569984,2.005788712011578
6.0,3,0.9971139971139968,0.33237133237133226,3.0086830680173673
6.0,4,0.9971139971139968,0.2492784992784992,4.011577424023156
