model,J2,L,rank,x,pi,n_low_energy_eigenpairs,P2,KF,retained_mass,unresolved_mass,D_TV_ranked,source_checkpoint,source_sha256
exact-TFIM,0,18,5,0.062500000000000014,0.0065359477124183017,analytic,9.5625,0.73856209150326801,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,18,6,0.030643162285356396,0.0032045137030438063,analytic,9.5625,0.73856209150326801,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,18,7,0.013590177003374941,0.0014211949807450919,analytic,9.5625,0.73856209150326801,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,18,8,0.0044872981077806826,0.00046925993283980993,analytic,9.5625,0.73856209150326801,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,18,9,0.00047839164034702112,5.0027883957858416e-05,analytic,9.5625,0.73856209150326801,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,20,1,10.090477424849279,0.84972441472414983,analytic,11.875,0.73157894736842111,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,20,2,1.0843576359197049,0.091314327235343579,analytic,11.875,0.73157894736842111,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,20,3,0.36427669529663675,0.030675932235506253,analytic,11.875,0.73157894736842111,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,20,4,0.16643374554906726,0.014015473309395138,analytic,11.875,0.73157894736842111,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,20,5,0.085680544154120075,0.00721520371824169,analytic,11.875,0.73157894736842111,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,20,6,0.045590863580109081,0.0038392306172723438,analytic,11.875,0.73157894736842111,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,20,7,0.023470300371557614,0.0019764463470785358,analytic,11.875,0.73157894736842111,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,20,8,0.010723304703363115,0.00090301513291478873,analytic,11.875,0.73157894736842111,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,20,9,0.0036023631600905258,0.00030335689769183375,analytic,11.875,0.73157894736842111,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,20,10,0.00038712241606926248,3.2599782405832631e-05,analytic,11.875,0.73157894736842111,1,0,0,analytic NS momentum-block formula,analytic
NNN-TFIM,0.050000000000000003,6,1,0.7228541637764262,0.93385436587578796,160,0.77405448878371796,0.87601098182428105,0.99999993250572938,6.7494270616919039e-08,0.0055846049818879216,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L6_neig160.json,e5dba50a6bbca8a1777d2fe3e60701d675c436f5bfc8e255800f201c14101a43
NNN-TFIM,0.050000000000000003,6,2,0.048439492955858823,0.062578918742493744,160,0.77405448878371796,0.87601098182428105,0.99999993250572938,6.7494270616919039e-08,0.0055846049818879216,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L6_neig160.json,e5dba50a6bbca8a1777d2fe3e60701d675c436f5bfc8e255800f201c14101a43
NNN-TFIM,0.050000000000000003,6,3,0.0025463252011023482,0.0032895942572510918,160,0.77405448878371796,0.87601098182428105,0.99999993250572938,6.7494270616919039e-08,0.0055846049818879216,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L6_neig160.json,e5dba50a6bbca8a1777d2fe3e60701d675c436f5bfc8e255800f201c14101a43
NNN-TFIM,0.050000000000000003,6,4,0.00019251092694570323,0.00024870461929391843,160,0.77405448878371796,0.87601098182428105,0.99999993250572938,6.7494270616919039e-08,0.0055846049818879216,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L6_neig160.json,e5dba50a6bbca8a1777d2fe3e60701d675c436f5bfc8e255800f201c14101a43
NNN-TFIM,0.050000000000000003,6,5,2.1943679141784219e-05,2.8349010902662178e-05,160,0.77405448878371796,0.87601098182428105,0.99999993250572938,6.7494270616919039e-08,0.0055846049818879216,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L6_neig160.json,e5dba50a6bbca8a1777d2fe3e60701d675c436f5bfc8e255800f201c14101a43
NNN-TFIM,0.050000000000000003,8,1,1.3151934767287448,0.90601754115609079,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,8,2,0.11559110754071268,0.079629022563305771,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,8,3,0.019335915240477074,0.013320229070595371,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,8,4,0.0013884883089417906,0.00095650927855907991,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,8,5,7.3774869976605365e-05,5.0822428394008949e-05,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,8,6,1.6813761686178092e-05,1.1582754393205863e-05,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,8,7,1.5162001442783714e-05,1.0444880931407806e-05,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,8,8,3.9313799162963486e-06,2.7082700972428018e-06,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,8,9,9.7643463028963225e-07,6.7265152883443742e-07,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,8,10,4.6798083156578639e-07,3.2238514699603026e-07,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,8,11,2.0692079543231704e-07,1.4254470814282813e-07,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,8,12,1.5412997962542497e-09,1.0617788761087904e-09,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,8,13,8.2866699702228108e-10,5.7085656853069733e-10,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,8,14,5.3001874023831877e-10,3.6512215449226389e-10,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,8,15,2.6744014829156353e-11,1.8423560476001173e-11,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
NNN-TFIM,0.050000000000000003,8,16,2.2430391218920278e-34,1.5451968291298595e-34,160,1.4516203240949836,0.82738691236349582,0.99999999999993194,6.8056671409522096e-14,0.0034462973343905635,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L8_neig160.json,0ba69116ea59cc1f0c6c199655a77647c6ee24d73b5b35cd9daf48857c6b17be
