lambda_or_g,linear_all_Kinf,linear_all_rmse,linear_L_ge_12_Kinf,linear_L_ge_12_rmse,quadratic_all_Kinf,quadratic_all_rmse,constrained_2_3_rmse,sizes
0,0.67487520233797,0.001197110969729188,0.6699773521075884,9.48752663874537e-05,0.6657702366856685,3.597664776268955e-05,0.003382441453880934,6 8 10 12 14 16 18 20
0.05,0.6685969085713439,0.001286618300995163,0.6640276058299631,2.744933498862852e-05,0.6589201877793912,0.0001952952659577181,0.001486195769447801,6 8 10 12 14 16 18 20
0.1,0.6636517195204393,0.00151150288700365,0.6588136564584184,2.786158168298175e-05,0.6524424143438013,0.0003384581136953837,0.001906501499183151,6 8 10 12 14 16 18 20
0.2,0.6568131334598976,0.002221259602679696,0.6501470325435281,9.090798462425141e-05,0.6405074147607633,0.0005848227200800041,0.004399421204965543,6 8 10 12 14 16 18 20
