lambda_or_g,L,h,n_low_energy_eigenpairs,KF,P2,P4_low,solve_res,gap,n_levels,note
0.05,20,1.0839983137261615,16,0.7301591980946017,9.80017539638968,70.12699952629794,8.350875436820523e-08,0.70624171505494,15,producer retained-eigenpair convergence at parity PRG field
0.05,20,1.0839983137261615,24,0.7301725416426524,9.800175396392458,70.12828108656494,7.408381883083533e-08,0.7062417150549969,23,producer retained-eigenpair convergence at parity PRG field
0.05,20,1.0839983137261615,32,0.7301725416582606,9.800175396392795,70.12828108806883,8.710428750286856e-08,0.7062417150549294,31,producer retained-eigenpair convergence at parity PRG field
0.05,20,1.0839983137261615,64,0.7301729670253453,9.80017539639325,70.12832194179248,8.802023751042619e-08,0.7062417150549294,63,producer retained-eigenpair convergence at parity PRG field
0.1,20,1.166060773736693,16,0.7296390126413081,8.260976172080655,49.7932858175786,8.15715759159772e-08,0.7842403877334192,15,producer retained-eigenpair convergence at parity PRG field
0.1,20,1.166060773736693,24,0.7296445853731306,8.260976172082618,49.793666121593155,6.324104532867586e-08,0.7842403877333197,23,producer retained-eigenpair convergence at parity PRG field
0.1,20,1.166060773736693,32,0.7296447370703689,8.260976172083026,49.79367647398305,5.885115563838193e-08,0.7842403877333091,31,producer retained-eigenpair convergence at parity PRG field
0.2,20,1.325555178890169,16,0.7303047675533647,6.155066995487374,27.667486367783148,6.457767629858972e-08,0.9384980258864815,15,producer retained-eigenpair convergence at parity PRG field
0.2,20,1.325555178890169,96,0.7303081530463842,6.155066995487525,27.66761462667877,5.275387869839661e-08,0.938498025886453,95,producer retained-eigenpair convergence at parity PRG field
