lambda_or_g,Kinf_linear,slope_linear,rmse_linear,sizes
0,0.67487520233797,1.161703210329933,0.001197110969729188,6 8 10 12 14 16 18 20
0.05,0.6685969085713439,1.256708572791284,0.001286618300995163,6 8 10 12 14 16 18 20
0.1,0.6636517195204393,1.346029962050998,0.00151150288700365,6 8 10 12 14 16 18 20
0.2,0.6568131334598976,1.505290463076605,0.002221259602679696,6 8 10 12 14 16 18 20
