L,rung,elapsed_seconds,solver_peak_rss_gib,K_F_lower,K_F_upper,rung_width,max_eigenpair_residual_abs,grouping_stable,nested_with_previous,guard_configured,guard_used,requested,retained_excited_states,retained_groups,solver_returned
12,128,20.878005911000002,0.3766822814941406,0.8751257716523635,0.8751257865677486,1.4915385149194552e-08,2.989439655167082e-13,True,True,1,1,128,126,58,129
12,192,39.18700670300001,0.5032157897949219,0.8751257827409741,0.8751257858331812,3.0922071569960967e-09,3.335899352829399e-13,True,True,1,1,192,191,86,193
12,256,69.83258132099999,0.6298828125,0.8751257827422886,0.875125785831014,3.0887253865685697e-09,4.883315007044993e-13,True,True,1,1,256,255,109,257
13,128,61.89951133600002,0.9599685668945312,0.8720474205630023,0.8720475190972978,9.853429550066296e-08,4.61268000463922e-13,True,True,1,1,128,127,57,129
13,192,111.44775191000002,1.311859130859375,0.8720475131943483,0.8720475163888076,3.1944593636978884e-09,4.4457366325175414e-13,True,True,1,1,192,191,86,193
13,256,193.754931242,1.6620292663574219,0.8720475132035371,0.872047516381817,3.178279861515421e-09,4.000930473868314e-13,True,True,1,1,256,254,108,257
14,128,235.858620732,2.2458534240722656,0.869487797105992,0.8694881284608783,3.3135488630708926e-07,4.138067917001272e-13,True,True,1,1,128,127,57,129
14,192,434.748525536,3.225921630859375,0.8694880619055844,0.8694880683774442,6.471859825829541e-09,5.654868254907992e-13,True,True,1,1,192,189,85,193
14,256,702.8068527610001,4.20745849609375,0.8694880646676919,0.8694880681179885,3.450296603979553e-09,1.1601610594396698e-12,True,True,1,1,256,255,109,257
